sources,maxday,minscore,select_pass,test_pass,sel_tr,sel_wr,sel_pf,sel_minM,sel_pnl,sel_call,test_tr,test_wr,test_pf,test_minM,test_pnl,test_call,both,near
"topk,ptdj35,cons22",5,-999999.0,True,True,250,0.484,1.3623612230671,80,12.07905550080514,0.552,395,0.5063291139240507,1.6219139072218138,70,32.87229126406042,0.5392405063291139,True,2.8449333581370153
"topk,cons22,ptdj35",5,-999999.0,True,True,250,0.484,1.3623612230671,80,12.07905550080514,0.552,395,0.5063291139240507,1.6150706941106947,70,32.51058188281239,0.5392405063291139,True,2.838090145025896
"ptdj35,topk,cons22",5,-999999.0,True,True,250,0.484,1.3623612230671,80,12.07905550080514,0.552,395,0.5037974683544304,1.6033541596297547,70,32.072291264060425,0.5417721518987342,True,2.8213103194057156
"struct,ptdj35,cons22",5,-999999.0,True,True,251,0.4820717131474104,1.3502096860565145,81,11.779055500805141,0.549800796812749,397,0.5012594458438288,1.583524093306706,70,31.489424004951033,0.5390428211586902,True,2.8003960973456987
"struct,cons22,ptdj35",5,-999999.0,True,True,251,0.4820717131474104,1.3502096860565145,81,11.779055500805143,0.549800796812749,397,0.5012594458438288,1.57682133054102,70,31.127714623702992,0.5390428211586902,True,2.7936933345800123
"ptdj35,cons22,topk",5,-999999.0,True,True,250,0.48,1.331858842532275,80,11.13170101659848,0.548,395,0.5037974683544304,1.5993418551185736,70,31.859010561725206,0.5417721518987342,True,2.7787956343597093
"ptdj35,struct,cons22",5,-999999.0,True,True,251,0.4820717131474104,1.3502096860565145,81,11.779055500805141,0.549800796812749,397,0.4987405541561713,1.5655553989611235,70,30.689424004951036,0.5415617128463476,True,2.777389619624801
"cons22,topk,ptdj35",5,-999999.0,True,True,250,0.476,1.3070566968837827,80,10.336715789340879,0.548,395,0.5063291139240507,1.6113434163877045,70,32.17137337229412,0.5392405063291139,True,2.7630583411195886
"topk,ptdj35,cons22",5,0.0,True,True,250,0.484,1.3623612230671,80,12.07905550080514,0.552,389,0.5012853470437018,1.6241427913879205,66,32.41795108465655,0.5347043701799485,True,2.757074708542424
"topk,cons22,ptdj35",5,0.0,True,True,250,0.484,1.3623612230671,80,12.07905550080514,0.552,389,0.5012853470437018,1.6171788009033334,66,32.05624170340852,0.5347043701799485,True,2.7501107180578366
"cons22,ptdj35,topk",5,-999999.0,True,True,250,0.476,1.3070566968837827,80,10.336715789340879,0.548,395,0.5037974683544304,1.5927620187740228,70,31.371373372294123,0.5417721518987342,True,2.7394136523666663
"topk,ptdj35,cons32",5,-999999.0,True,True,256,0.48046875,1.3203186241871794,81,10.995001789316678,0.5390625,414,0.5072463768115942,1.502923426856211,72,26.660313104957194,0.5217391304347826,True,2.738672304666579
"ptdj35,cons22,struct",5,-999999.0,True,True,251,0.47808764940239046,1.320052797985238,81,10.83170101659848,0.545816733067729,397,0.4987405541561713,1.5616249878631363,70,30.476143302615817,0.5415617128463476,True,2.7353341929654977
"ptdj35,topk,cons22",5,0.0,True,True,250,0.484,1.3623612230671,80,12.07905550080514,0.552,389,0.4987146529562982,1.6052445599651763,66,31.617951084656553,0.5372750642673522,True,2.7330350889448725
"topk,cons32,ptdj35",5,-999999.0,True,True,256,0.48046875,1.3203186241871794,81,10.995001789316678,0.5390625,414,0.5072463768115942,1.4961000965814635,72,26.298603723709153,0.5217391304347826,True,2.7318489743918315
"wconly,ptdj35,cons22",5,-999999.0,True,True,250,0.484,1.3623612230671,80,12.07905550080514,0.552,388,0.5051546391752577,1.5805797446162462,66,29.905650166257715,0.5335051546391752,True,2.7212502460338612
"ptdj35,wconly,cons22",5,-999999.0,True,True,250,0.484,1.3623612230671,80,12.07905550080514,0.552,388,0.5051546391752577,1.5805797446162462,66,29.905650166257715,0.5335051546391752,True,2.7212502460338612
"ptdj35,topk,cons32",5,-999999.0,True,True,256,0.48046875,1.3203186241871794,81,10.995001789316678,0.5390625,414,0.5048309178743962,1.485086906690687,72,25.860313104957193,0.5241545893719807,True,2.7160048666266587
"struct,ptdj35,cons22",5,0.0,True,True,251,0.4820717131474104,1.3502096860565145,81,11.779055500805141,0.549800796812749,391,0.4961636828644501,1.5850430373594386,66,31.03508382554716,0.5345268542199488,True,2.7117235154396737
"wconly,cons22,ptdj35",5,-999999.0,True,True,250,0.484,1.3623612230671,80,12.07905550080514,0.552,388,0.5051546391752577,1.5710456934798862,66,29.414551397147793,0.5335051546391752,True,2.7117161948975017
"topk,ptdj35,cons22",5,0.2,True,True,245,0.4816326530612245,1.3681343171179394,80,12.05665364460419,0.5510204081632653,340,0.49411764705882355,1.7506221717107824,58,35.77590165513665,0.5323529411764706,True,2.710257089068818
