path,dir,file,ticker,v25_trades,v25_wr,v25_pf,v25_r,v25_min_month,v25_pos_months,v25_months,v25_call_rate,t26_trades,t26_wr,t26_pf,t26_r,t26_min_month,t26_pos_months,t26_months,t26_call_rate
research_papers\JEPA\results\event_option_gate_8ticker_medium_even\event_option_gate_trades.csv,event_option_gate_8ticker_medium_even,event_option_gate_trades.csv,SPXW,196,0.4387755102040816,1.0468320621244478,1.3226978636719275,0,2,12,0.6326530612244898,164,0.3231707317073171,0.7911298619887831,-5.6272810179632,3,2,6,0.7865853658536586
research_papers\JEPA\results\event_option_gate_8ticker_medium_even\event_option_gate_trades.csv,event_option_gate_8ticker_medium_even,event_option_gate_trades.csv,SPY,105,0.5047619047619047,1.3562334573641226,4.374085086373657,0,2,12,0.6666666666666666,110,0.33636363636363636,0.9064112924214515,-1.763145782267891,3,3,6,0.6363636363636364
research_papers\JEPA\results\event_option_gate_8ticker_medium_even\event_option_gate_trades.csv,event_option_gate_8ticker_medium_even,event_option_gate_trades.csv,QQQ,115,0.4260869565217391,1.0226439409890393,0.34045828600535116,0,2,12,0.6086956521739131,122,0.36065573770491804,0.8873566331518257,-2.1730947611996547,4,3,6,0.5819672131147541
research_papers\JEPA\results\event_option_gate_qqq_all13_zero_dte_delta80_win_ptdj_2025h2_2026\event_option_gate_trades.csv,event_option_gate_qqq_all13_zero_dte_delta80_win_ptdj_2025h2_2026,event_option_gate_trades.csv,QQQ,217,0.3548387096774194,0.848759180203508,-5.871935804782954,0,3,12,0.29493087557603687,206,0.39805825242718446,0.9987154690381198,-0.04595956698814785,0,4,6,0.35436893203883496
research_papers\JEPA\results\event_option_gate_qqq_alltrain_delta65_wincls_min18_2025h2_2026\event_option_gate_trades.csv,event_option_gate_qqq_alltrain_delta65_wincls_min18_2025h2_2026,event_option_gate_trades.csv,QQQ,225,0.52,1.0523725496271088,1.304392708808202,0,4,12,0.6666666666666666,306,0.4150326797385621,0.9075361971119675,-3.796886056083747,0,2,6,0.7026143790849673
research_papers\JEPA\results\event_option_gate_qqq_alltrain_delta80_wincls_min18_2025h2_2026\event_option_gate_trades.csv,event_option_gate_qqq_alltrain_delta80_wincls_min18_2025h2_2026,event_option_gate_trades.csv,QQQ,307,0.48534201954397393,1.1199303032031667,3.408824636453967,0,4,12,0.742671009771987,319,0.4106583072100313,1.0510000926476506,1.9089928751165406,0,3,6,0.7429467084639498
research_papers\JEPA\results\event_option_gate_qqq_alltrain_zero_dte_delta80_wincls_physics_2025h2_2026\event_option_gate_trades.csv,event_option_gate_qqq_alltrain_zero_dte_delta80_wincls_physics_2025h2_2026,event_option_gate_trades.csv,QQQ,180,0.39444444444444443,1.0705841514770154,2.1117535877938725,0,3,12,0.28888888888888886,201,0.4228855721393035,1.1459912729902657,4.938721660440942,0,4,6,0.3681592039800995
research_papers\JEPA\results\event_option_gate_qqq_alltrain_zero_dte_delta80_wincls_physics_2025h2_2026jun\event_option_gate_trades.csv,event_option_gate_qqq_alltrain_zero_dte_delta80_wincls_physics_2025h2_2026jun,event_option_gate_trades.csv,QQQ,180,0.39444444444444443,1.0705841514770154,2.1117535877938725,0,3,12,0.28888888888888886,219,0.410958904109589,1.1014438192355698,3.8007779713485705,18,4,6,0.3698630136986301
research_papers\JEPA\results\event_option_gate_qqq_alltrain_zero_dte_delta80_wincls_physics_ptdj_v1_2025h2_2026\event_option_gate_trades.csv,event_option_gate_qqq_alltrain_zero_dte_delta80_wincls_physics_ptdj_v1_2025h2_2026,event_option_gate_trades.csv,QQQ,204,0.45588235294117646,1.349636080490068,10.787512455244924,0,3,12,0.2647058823529412,211,0.4549763033175355,1.3175066762771908,10.363959073227464,0,4,6,0.33175355450236965
research_papers\JEPA\results\event_option_gate_qqq_alltrain_zero_dte_delta80_wincls_physics_ptdj_v1_2025h2_2026jun\event_option_gate_trades.csv,event_option_gate_qqq_alltrain_zero_dte_delta80_wincls_physics_ptdj_v1_2025h2_2026jun,event_option_gate_trades.csv,QQQ,158,0.34177215189873417,0.8627030380613833,-3.994320340476504,0,1,12,0.18354430379746836,243,0.4567901234567901,1.3161759977629426,11.831076359860894,18,5,6,0.37037037037037035
research_papers\JEPA\results\event_option_gate_qqq_front_weekly_delta35_wincls_min18_2025h2_2026jun\event_option_gate_trades.csv,event_option_gate_qqq_front_weekly_delta35_wincls_min18_2025h2_2026jun,event_option_gate_trades.csv,QQQ,102,0.4411764705882353,1.1012815138538157,1.2153067833930753,0,2,12,0.5196078431372549,160,0.41875,0.9774880255383214,-0.42689103040983656,11,2,6,0.58125
research_papers\JEPA\results\event_option_gate_qqq_full20_family_d35_win_2025_2026_v1\event_option_gate_trades.csv,event_option_gate_qqq_full20_family_d35_win_2025_2026_v1,event_option_gate_trades.csv,QQQ,173,0.4508670520231214,1.3698135474144235,10.52897190014362,0,4,12,0.2254335260115607,160,0.375,0.9961134265829332,-0.11542015750869927,0,3,6,0.2875
research_papers\JEPA\results\event_option_gate_qqq_full20_family_d50_win_2025_2026_v1\event_option_gate_trades.csv,event_option_gate_qqq_full20_family_d50_win_2025_2026_v1,event_option_gate_trades.csv,QQQ,312,0.38782051282051283,1.0651571407251441,3.7008689733681375,0,4,12,0.30448717948717946,340,0.4117647058823529,1.1680178239981887,10.00374163427682,26,5,6,0.37941176470588234
research_papers\JEPA\results\event_option_gate_qqq_full20_family_d65_win_2025_2026_v1\event_option_gate_trades.csv,event_option_gate_qqq_full20_family_d65_win_2025_2026_v1,event_option_gate_trades.csv,QQQ,451,0.4079822616407982,1.1650396105283167,12.870806026173229,0,5,12,0.270509977827051,214,0.4439252336448598,1.2960668273715856,10.489272294274976,13,6,6,0.3691588785046729
research_papers\JEPA\results\event_option_gate_qqq_full20_family_d80_win_2025_2026_v1\event_option_gate_trades.csv,event_option_gate_qqq_full20_family_d80_win_2025_2026_v1,event_option_gate_trades.csv,QQQ,528,0.4318181818181818,1.2016479304758474,17.553974541462082,0,7,12,0.3484848484848485,298,0.43288590604026844,1.1165409031197542,5.54244885472529,0,4,6,0.46308724832214765
research_papers\JEPA\results\event_option_gate_qqq_zero_dte_delta35_wincls_min18_2025h2_2026\event_option_gate_trades.csv,event_option_gate_qqq_zero_dte_delta35_wincls_min18_2025h2_2026,event_option_gate_trades.csv,QQQ,195,0.3333333333333333,0.8113598459554628,-7.3515007440308935,0,2,12,0.26666666666666666,181,0.4088397790055249,1.1396177822089852,4.481730808908419,0,3,6,0.5027624309392266
research_papers\JEPA\results\event_option_gate_qqq_zero_dte_delta80_win_tdvp_only_v1_2025h2_2026jun\event_option_gate_trades.csv,event_option_gate_qqq_zero_dte_delta80_win_tdvp_only_v1_2025h2_2026jun,event_option_gate_trades.csv,QQQ,187,0.3155080213903743,0.7233020956159917,-9.471875883765744,0,1,12,0.32620320855614976,142,0.38028169014084506,0.9336627609930614,-1.6857769973705186,0,3,6,0.8028169014084507
research_papers\JEPA\results\event_option_gate_qqq_zero_dte_delta80_win_tdvp_v1_2025h2_2026jun\event_option_gate_trades.csv,event_option_gate_qqq_zero_dte_delta80_win_tdvp_v1_2025h2_2026jun,event_option_gate_trades.csv,QQQ,158,0.37341772151898733,1.0003728244208185,0.009550816670139461,0,2,12,0.3670886075949367,200,0.4,0.9810036284897029,-0.6676048709111932,18,3,6,0.605
research_papers\JEPA\results\event_option_gate_spxw_front_weekly_delta35_return_tdvp_only_v1_2025h2_2026jun\event_option_gate_trades.csv,event_option_gate_spxw_front_weekly_delta35_return_tdvp_only_v1_2025h2_2026jun,event_option_gate_trades.csv,SPXW,94,0.3617021276595745,0.7656457635806686,-2.831036317325109,0,0,12,0.7446808510638298,64,0.546875,1.7821801456247839,4.151639894579503,0,2,6,0.53125
research_papers\JEPA\results\event_option_gate_spxw_front_weekly_delta35_return_tdvp_v1_2025h2_2026jun\event_option_gate_trades.csv,event_option_gate_spxw_front_weekly_delta35_return_tdvp_v1_2025h2_2026jun,event_option_gate_trades.csv,SPXW,282,0.4078014184397163,1.0617271705365297,1.778646182274279,0,4,12,0.7588652482269503,307,0.4592833876221498,1.2910290562924152,9.250429831499378,16,3,6,0.762214983713355
research_papers\JEPA\results\event_option_gate_spxw_front_weekly_delta35_return_vol25_2025h2_2026\event_option_gate_trades.csv,event_option_gate_spxw_front_weekly_delta35_return_vol25_2025h2_2026,event_option_gate_trades.csv,SPXW,350,0.4057142857142857,1.0970424618080181,3.5649715831270554,0,4,12,0.5714285714285714,254,0.5078740157480315,1.4807686409519378,12.56233303455121,0,4,6,0.6259842519685039
research_papers\JEPA\results\event_option_gate_spxw_front_weekly_delta35_return_vol25_2025h2_2026jun\event_option_gate_trades.csv,event_option_gate_spxw_front_weekly_delta35_return_vol25_2025h2_2026jun,event_option_gate_trades.csv,SPXW,350,0.4057142857142857,1.0970424618080181,3.5649715831270554,0,4,12,0.5714285714285714,299,0.4882943143812709,1.3124564452988314,10.016640811361986,24,4,6,0.6053511705685619
research_papers\JEPA\results\event_option_gate_spxw_front_weekly_delta35_return_vol25_all13_2025h2_2026jun\event_option_gate_trades.csv,event_option_gate_spxw_front_weekly_delta35_return_vol25_all13_2025h2_2026jun,event_option_gate_trades.csv,SPXW,216,0.4166666666666667,1.2144422345383732,4.401508199078188,0,3,12,0.6666666666666666,177,0.3954802259887006,0.6447993270378756,-7.662813872927039,0,1,6,0.9717514124293786
research_papers\JEPA\results\event_option_gate_spxw_front_weekly_delta35_return_vol25_physics_2025h2_2026\event_option_gate_trades.csv,event_option_gate_spxw_front_weekly_delta35_return_vol25_physics_2025h2_2026,event_option_gate_trades.csv,SPXW,208,0.4519230769230769,1.4154000778437918,8.614957757970998,0,4,12,0.7211538461538461,258,0.49612403100775193,1.4035924716751949,10.262535887821178,0,3,6,0.6627906976744186
research_papers\JEPA\results\event_option_gate_spxw_spy_qqq_medium_even\event_option_gate_trades.csv,event_option_gate_spxw_spy_qqq_medium_even,event_option_gate_trades.csv,SPXW,186,0.40860215053763443,0.9947961710599034,-0.1444692081222947,0,1,12,0.8763440860215054,59,0.3559322033898305,1.004868803358916,0.04644177352742954,5,2,6,0.4915254237288136
research_papers\JEPA\results\event_option_gate_spxw_spy_qqq_medium_even\event_option_gate_trades.csv,event_option_gate_spxw_spy_qqq_medium_even,event_option_gate_trades.csv,SPY,107,0.5420560747663551,1.4967107247395712,6.069121215456158,0,2,12,0.8504672897196262,183,0.3770491803278688,0.9917678904784095,-0.26136462326164445,2,3,6,0.6502732240437158
research_papers\JEPA\results\event_option_gate_spxw_spy_qqq_medium_even\event_option_gate_trades.csv,event_option_gate_spxw_spy_qqq_medium_even,event_option_gate_trades.csv,QQQ,87,0.45977011494252873,1.4313995314506682,4.435976638433882,0,3,12,0.7701149425287356,86,0.36046511627906974,0.8830494429597091,-1.8308040997451314,8,4,6,0.3953488372093023
research_papers\JEPA\results\event_option_gate_spxw_spy_qqq_medium_even_tickeronly_abstain\event_option_gate_trades.csv,event_option_gate_spxw_spy_qqq_medium_even_tickeronly_abstain,event_option_gate_trades.csv,SPY,3,0.6666666666666666,3.3333333333333335,0.7,0,1,12,0.0,85,0.32941176470588235,0.8191795482965762,-2.8243526532631247,5,1,6,0.36470588235294116
research_papers\JEPA\results\event_option_gate_spxw_spy_qqq_medium_even_tickeronly_abstain\event_option_gate_trades.csv,event_option_gate_spxw_spy_qqq_medium_even_tickeronly_abstain,event_option_gate_trades.csv,QQQ,15,0.3333333333333333,1.0734521991868997,0.1710653703130352,0,1,12,0.26666666666666666,49,0.42857142857142855,1.0879576655275902,0.7017459661888876,0,4,6,0.7142857142857143
research_papers\JEPA\results\event_option_gate_spxw_spy_qqq_medium_even_tickeronly_allow_invalid\event_option_gate_trades.csv,event_option_gate_spxw_spy_qqq_medium_even_tickeronly_allow_invalid,event_option_gate_trades.csv,SPXW,143,0.4195804195804196,1.0624813984337753,1.364328699209808,0,1,12,0.972027972027972,133,0.3458646616541353,0.8740679580481494,-2.9542321275928263,11,3,6,0.7142857142857143
