path,dir,file,ticker,window,v_trades,v_wr,v_pf,v_r,v_min_month,v_pos_months,v_call_rate,t_trades,t_wr,t_pf,t_r,t_min_month,t_pos_months,t_call_rate
research_papers\JEPA\results\event_option_consensus_streams_full20_2022_2026_v1\cons_v1_md2_ms1_c45\event_option_gate_trades.csv,cons_v1_md2_ms1_c45,event_option_gate_trades.csv,SPXW,h2,154,0.4155844155844156,0.9981533723253572,-0.039174581025467115,19,3,0.38311688311688313,175,0.5142857142857142,1.5125491200419325,8.491182164019257,22,6,0.5542857142857143
research_papers\JEPA\results\event_option_consensus_streams_full20_2022_2026_v1\cons_v1_md2_ms1_c45\event_option_gate_trades.csv,cons_v1_md2_ms1_c45,event_option_gate_trades.csv,SPXW,octdec,71,0.39436619718309857,0.8929595358294722,-1.1239327204084955,19,1,0.36619718309859156,175,0.5142857142857142,1.5125491200419325,8.491182164019257,22,6,0.5542857142857143
research_papers\JEPA\results\event_option_consensus_streams_full20_2022_2026_v1\cons_v1_md2_ms1_c45\event_option_gate_trades.csv,cons_v1_md2_ms1_c45,event_option_gate_trades.csv,SPY,h2,147,0.41496598639455784,0.9268932097312717,-1.4669666999902324,21,3,0.3401360544217687,183,0.5409836065573771,1.5465489881599386,9.982129096815436,25,4,0.5519125683060109
research_papers\JEPA\results\event_option_consensus_streams_full20_2022_2026_v1\cons_v1_md2_ms1_c45\event_option_gate_trades.csv,cons_v1_md2_ms1_c45,event_option_gate_trades.csv,SPY,octdec,75,0.44,1.0816558023354386,0.8191424400425189,21,2,0.38666666666666666,183,0.5409836065573771,1.5465489881599386,9.982129096815436,25,4,0.5519125683060109
research_papers\JEPA\results\event_option_consensus_streams_full20_2022_2026_v1\cons_v1_md2_ms1_c45\event_option_gate_trades.csv,cons_v1_md2_ms1_c45,event_option_gate_trades.csv,QQQ,h2,147,0.42857142857142855,0.9227155747461137,-1.559492459243645,19,3,0.35374149659863946,175,0.5142857142857142,1.3792619903515273,6.497861325272764,24,5,0.5542857142857143
research_papers\JEPA\results\event_option_consensus_streams_full20_2022_2026_v1\cons_v1_md2_ms1_c45\event_option_gate_trades.csv,cons_v1_md2_ms1_c45,event_option_gate_trades.csv,QQQ,octdec,72,0.3611111111111111,0.6827681355542276,-3.5827053412384275,19,0,0.3472222222222222,175,0.5142857142857142,1.3792619903515273,6.497861325272764,24,5,0.5542857142857143
research_papers\JEPA\results\event_option_consensus_streams_full20_2022_2026_v1\cons_v1_md2_ms2_c30\event_option_gate_trades.csv,cons_v1_md2_ms2_c30,event_option_gate_trades.csv,SPXW,h2,208,0.40384615384615385,0.8973028048906903,-2.980042926685638,24,1,0.3605769230769231,227,0.5330396475770925,1.52791982283636,11.003088264563967,30,5,0.5506607929515418
research_papers\JEPA\results\event_option_consensus_streams_full20_2022_2026_v1\cons_v1_md2_ms2_c30\event_option_gate_trades.csv,cons_v1_md2_ms2_c30,event_option_gate_trades.csv,SPXW,octdec,104,0.3942307692307692,0.8115368218723635,-2.801331315993042,28,0,0.40384615384615385,227,0.5330396475770925,1.52791982283636,11.003088264563967,30,5,0.5506607929515418
research_papers\JEPA\results\event_option_consensus_streams_full20_2022_2026_v1\cons_v1_md2_ms2_c30\event_option_gate_trades.csv,cons_v1_md2_ms2_c30,event_option_gate_trades.csv,SPY,h2,219,0.3972602739726027,0.8817396363618137,-3.478474096374683,25,2,0.319634703196347,218,0.536697247706422,1.580933296159595,13.10865528778957,28,5,0.555045871559633
research_papers\JEPA\results\event_option_consensus_streams_full20_2022_2026_v1\cons_v1_md2_ms2_c30\event_option_gate_trades.csv,cons_v1_md2_ms2_c30,event_option_gate_trades.csv,SPY,octdec,103,0.46601941747572817,1.2464211022745755,3.070449288082005,25,2,0.4174757281553398,218,0.536697247706422,1.580933296159595,13.10865528778957,28,5,0.555045871559633
research_papers\JEPA\results\event_option_consensus_streams_full20_2022_2026_v1\cons_v1_md2_ms2_c30\event_option_gate_trades.csv,cons_v1_md2_ms2_c30,event_option_gate_trades.csv,QQQ,h2,215,0.413953488372093,0.978021050183466,-0.6836717042898806,22,4,0.3023255813953488,212,0.5188679245283019,1.3831988501854167,8.022404392856581,26,4,0.5377358490566038
research_papers\JEPA\results\event_option_consensus_streams_full20_2022_2026_v1\cons_v1_md2_ms2_c30\event_option_gate_trades.csv,cons_v1_md2_ms2_c30,event_option_gate_trades.csv,QQQ,octdec,117,0.38461538461538464,0.8360733358676335,-3.0444916905684662,29,1,0.3504273504273504,212,0.5188679245283019,1.3831988501854167,8.022404392856581,26,4,0.5377358490566038
