ticker,underlying_ticker,trade_date,expiration,dte_days,expiry_mode,has_greeks,has_iv,has_ohlc,has_oi,has_underlying,greeks_path,iv_path,ohlc_path,oi_path,underlying_path
QQQ,QQQ,20220103,20220103,0,zero_dte,True,True,True,True,True,D:\ThetaData\data_options\QQQ\greeks\2022\01\QQQ_20220103_20220103_greeks.parquet,D:\ThetaData\data_options\QQQ\iv\2022\01\QQQ_20220103_20220103_iv.parquet,D:\ThetaData\data_options\QQQ\ohlc\2022\01\QQQ_20220103_20220103_ohlc.parquet,D:\ThetaData\data_options\QQQ\oi\2022\01\QQQ_20220103_20220103_oi.parquet,D:\ThetaData\data_underlying_derived\QQQ\2022\01\QQQ_20220103.parquet
QQQ,QQQ,20220103,20220107,4,front_weekly,True,True,True,True,True,D:\ThetaData\data_options\QQQ\greeks\2022\01\QQQ_20220107_20220103_greeks.parquet,D:\ThetaData\data_options\QQQ\iv\2022\01\QQQ_20220107_20220103_iv.parquet,D:\ThetaData\data_options\QQQ\ohlc\2022\01\QQQ_20220107_20220103_ohlc.parquet,D:\ThetaData\data_options\QQQ\oi\2022\01\QQQ_20220107_20220103_oi.parquet,D:\ThetaData\data_underlying_derived\QQQ\2022\01\QQQ_20220103.parquet
QQQ,QQQ,20220104,20220107,3,front_weekly,True,True,True,True,True,D:\ThetaData\data_options\QQQ\greeks\2022\01\QQQ_20220107_20220104_greeks.parquet,D:\ThetaData\data_options\QQQ\iv\2022\01\QQQ_20220107_20220104_iv.parquet,D:\ThetaData\data_options\QQQ\ohlc\2022\01\QQQ_20220107_20220104_ohlc.parquet,D:\ThetaData\data_options\QQQ\oi\2022\01\QQQ_20220107_20220104_oi.parquet,D:\ThetaData\data_underlying_derived\QQQ\2022\01\QQQ_20220104.parquet
QQQ,QQQ,20220105,20220105,0,zero_dte,True,True,True,True,True,D:\ThetaData\data_options\QQQ\greeks\2022\01\QQQ_20220105_20220105_greeks.parquet,D:\ThetaData\data_options\QQQ\iv\2022\01\QQQ_20220105_20220105_iv.parquet,D:\ThetaData\data_options\QQQ\ohlc\2022\01\QQQ_20220105_20220105_ohlc.parquet,D:\ThetaData\data_options\QQQ\oi\2022\01\QQQ_20220105_20220105_oi.parquet,D:\ThetaData\data_underlying_derived\QQQ\2022\01\QQQ_20220105.parquet
QQQ,QQQ,20220105,20220107,2,front_weekly,True,True,True,True,True,D:\ThetaData\data_options\QQQ\greeks\2022\01\QQQ_20220107_20220105_greeks.parquet,D:\ThetaData\data_options\QQQ\iv\2022\01\QQQ_20220107_20220105_iv.parquet,D:\ThetaData\data_options\QQQ\ohlc\2022\01\QQQ_20220107_20220105_ohlc.parquet,D:\ThetaData\data_options\QQQ\oi\2022\01\QQQ_20220107_20220105_oi.parquet,D:\ThetaData\data_underlying_derived\QQQ\2022\01\QQQ_20220105.parquet
QQQ,QQQ,20220106,20220107,1,front_weekly,True,True,True,True,True,D:\ThetaData\data_options\QQQ\greeks\2022\01\QQQ_20220107_20220106_greeks.parquet,D:\ThetaData\data_options\QQQ\iv\2022\01\QQQ_20220107_20220106_iv.parquet,D:\ThetaData\data_options\QQQ\ohlc\2022\01\QQQ_20220107_20220106_ohlc.parquet,D:\ThetaData\data_options\QQQ\oi\2022\01\QQQ_20220107_20220106_oi.parquet,D:\ThetaData\data_underlying_derived\QQQ\2022\01\QQQ_20220106.parquet
QQQ,QQQ,20220107,20220107,0,zero_dte,True,True,True,True,True,D:\ThetaData\data_options\QQQ\greeks\2022\01\QQQ_20220107_20220107_greeks.parquet,D:\ThetaData\data_options\QQQ\iv\2022\01\QQQ_20220107_20220107_iv.parquet,D:\ThetaData\data_options\QQQ\ohlc\2022\01\QQQ_20220107_20220107_ohlc.parquet,D:\ThetaData\data_options\QQQ\oi\2022\01\QQQ_20220107_20220107_oi.parquet,D:\ThetaData\data_underlying_derived\QQQ\2022\01\QQQ_20220107.parquet
QQQ,QQQ,20220107,20220114,7,front_weekly,True,True,True,True,True,D:\ThetaData\data_options\QQQ\greeks\2022\01\QQQ_20220114_20220107_greeks.parquet,D:\ThetaData\data_options\QQQ\iv\2022\01\QQQ_20220114_20220107_iv.parquet,D:\ThetaData\data_options\QQQ\ohlc\2022\01\QQQ_20220114_20220107_ohlc.parquet,D:\ThetaData\data_options\QQQ\oi\2022\01\QQQ_20220114_20220107_oi.parquet,D:\ThetaData\data_underlying_derived\QQQ\2022\01\QQQ_20220107.parquet
QQQ,QQQ,20220110,20220110,0,zero_dte,True,True,True,True,True,D:\ThetaData\data_options\QQQ\greeks\2022\01\QQQ_20220110_20220110_greeks.parquet,D:\ThetaData\data_options\QQQ\iv\2022\01\QQQ_20220110_20220110_iv.parquet,D:\ThetaData\data_options\QQQ\ohlc\2022\01\QQQ_20220110_20220110_ohlc.parquet,D:\ThetaData\data_options\QQQ\oi\2022\01\QQQ_20220110_20220110_oi.parquet,D:\ThetaData\data_underlying_derived\QQQ\2022\01\QQQ_20220110.parquet
QQQ,QQQ,20220110,20220114,4,front_weekly,True,True,True,True,True,D:\ThetaData\data_options\QQQ\greeks\2022\01\QQQ_20220114_20220110_greeks.parquet,D:\ThetaData\data_options\QQQ\iv\2022\01\QQQ_20220114_20220110_iv.parquet,D:\ThetaData\data_options\QQQ\ohlc\2022\01\QQQ_20220114_20220110_ohlc.parquet,D:\ThetaData\data_options\QQQ\oi\2022\01\QQQ_20220114_20220110_oi.parquet,D:\ThetaData\data_underlying_derived\QQQ\2022\01\QQQ_20220110.parquet
