ticker,underlying_ticker,trade_date,expiration,dte_days,expiry_mode,has_greeks,has_iv,has_ohlc,has_oi,has_underlying,greeks_path,iv_path,ohlc_path,oi_path,underlying_path
QQQ,QQQ,20260601,20260601,0,zero_dte,True,True,True,True,True,D:\ThetaData\data_options\QQQ\greeks\2026\06\QQQ_20260601_20260601_greeks.parquet,D:\ThetaData\data_options\QQQ\iv\2026\06\QQQ_20260601_20260601_iv.parquet,D:\ThetaData\data_options\QQQ\ohlc\2026\06\QQQ_20260601_20260601_ohlc.parquet,D:\ThetaData\data_options\QQQ\oi\2026\06\QQQ_20260601_20260601_oi.parquet,D:\ThetaData\data_underlying_derived\QQQ\2026\06\QQQ_20260601.parquet
QQQ,QQQ,20260601,20260605,4,front_weekly,True,True,True,True,True,D:\ThetaData\data_options\QQQ\greeks\2026\06\QQQ_20260605_20260601_greeks.parquet,D:\ThetaData\data_options\QQQ\iv\2026\06\QQQ_20260605_20260601_iv.parquet,D:\ThetaData\data_options\QQQ\ohlc\2026\06\QQQ_20260605_20260601_ohlc.parquet,D:\ThetaData\data_options\QQQ\oi\2026\06\QQQ_20260605_20260601_oi.parquet,D:\ThetaData\data_underlying_derived\QQQ\2026\06\QQQ_20260601.parquet
QQQ,QQQ,20260602,20260602,0,zero_dte,True,True,True,True,True,D:\ThetaData\data_options\QQQ\greeks\2026\06\QQQ_20260602_20260602_greeks.parquet,D:\ThetaData\data_options\QQQ\iv\2026\06\QQQ_20260602_20260602_iv.parquet,D:\ThetaData\data_options\QQQ\ohlc\2026\06\QQQ_20260602_20260602_ohlc.parquet,D:\ThetaData\data_options\QQQ\oi\2026\06\QQQ_20260602_20260602_oi.parquet,D:\ThetaData\data_underlying_derived\QQQ\2026\06\QQQ_20260602.parquet
QQQ,QQQ,20260602,20260605,3,front_weekly,True,True,True,True,True,D:\ThetaData\data_options\QQQ\greeks\2026\06\QQQ_20260605_20260602_greeks.parquet,D:\ThetaData\data_options\QQQ\iv\2026\06\QQQ_20260605_20260602_iv.parquet,D:\ThetaData\data_options\QQQ\ohlc\2026\06\QQQ_20260605_20260602_ohlc.parquet,D:\ThetaData\data_options\QQQ\oi\2026\06\QQQ_20260605_20260602_oi.parquet,D:\ThetaData\data_underlying_derived\QQQ\2026\06\QQQ_20260602.parquet
QQQ,QQQ,20260603,20260603,0,zero_dte,True,True,True,True,True,D:\ThetaData\data_options\QQQ\greeks\2026\06\QQQ_20260603_20260603_greeks.parquet,D:\ThetaData\data_options\QQQ\iv\2026\06\QQQ_20260603_20260603_iv.parquet,D:\ThetaData\data_options\QQQ\ohlc\2026\06\QQQ_20260603_20260603_ohlc.parquet,D:\ThetaData\data_options\QQQ\oi\2026\06\QQQ_20260603_20260603_oi.parquet,D:\ThetaData\data_underlying_derived\QQQ\2026\06\QQQ_20260603.parquet
QQQ,QQQ,20260603,20260605,2,front_weekly,True,True,True,True,True,D:\ThetaData\data_options\QQQ\greeks\2026\06\QQQ_20260605_20260603_greeks.parquet,D:\ThetaData\data_options\QQQ\iv\2026\06\QQQ_20260605_20260603_iv.parquet,D:\ThetaData\data_options\QQQ\ohlc\2026\06\QQQ_20260605_20260603_ohlc.parquet,D:\ThetaData\data_options\QQQ\oi\2026\06\QQQ_20260605_20260603_oi.parquet,D:\ThetaData\data_underlying_derived\QQQ\2026\06\QQQ_20260603.parquet
QQQ,QQQ,20260604,20260604,0,zero_dte,True,True,True,True,True,D:\ThetaData\data_options\QQQ\greeks\2026\06\QQQ_20260604_20260604_greeks.parquet,D:\ThetaData\data_options\QQQ\iv\2026\06\QQQ_20260604_20260604_iv.parquet,D:\ThetaData\data_options\QQQ\ohlc\2026\06\QQQ_20260604_20260604_ohlc.parquet,D:\ThetaData\data_options\QQQ\oi\2026\06\QQQ_20260604_20260604_oi.parquet,D:\ThetaData\data_underlying_derived\QQQ\2026\06\QQQ_20260604.parquet
QQQ,QQQ,20260604,20260605,1,front_weekly,True,True,True,True,True,D:\ThetaData\data_options\QQQ\greeks\2026\06\QQQ_20260605_20260604_greeks.parquet,D:\ThetaData\data_options\QQQ\iv\2026\06\QQQ_20260605_20260604_iv.parquet,D:\ThetaData\data_options\QQQ\ohlc\2026\06\QQQ_20260605_20260604_ohlc.parquet,D:\ThetaData\data_options\QQQ\oi\2026\06\QQQ_20260605_20260604_oi.parquet,D:\ThetaData\data_underlying_derived\QQQ\2026\06\QQQ_20260604.parquet
QQQ,QQQ,20260605,20260605,0,zero_dte,True,True,True,True,True,D:\ThetaData\data_options\QQQ\greeks\2026\06\QQQ_20260605_20260605_greeks.parquet,D:\ThetaData\data_options\QQQ\iv\2026\06\QQQ_20260605_20260605_iv.parquet,D:\ThetaData\data_options\QQQ\ohlc\2026\06\QQQ_20260605_20260605_ohlc.parquet,D:\ThetaData\data_options\QQQ\oi\2026\06\QQQ_20260605_20260605_oi.parquet,D:\ThetaData\data_underlying_derived\QQQ\2026\06\QQQ_20260605.parquet
QQQ,QQQ,20260605,20260612,7,front_weekly,True,True,True,True,True,D:\ThetaData\data_options\QQQ\greeks\2026\06\QQQ_20260612_20260605_greeks.parquet,D:\ThetaData\data_options\QQQ\iv\2026\06\QQQ_20260612_20260605_iv.parquet,D:\ThetaData\data_options\QQQ\ohlc\2026\06\QQQ_20260612_20260605_ohlc.parquet,D:\ThetaData\data_options\QQQ\oi\2026\06\QQQ_20260612_20260605_oi.parquet,D:\ThetaData\data_underlying_derived\QQQ\2026\06\QQQ_20260605.parquet
QQQ,QQQ,20260608,20260608,0,zero_dte,True,True,True,True,True,D:\ThetaData\data_options\QQQ\greeks\2026\06\QQQ_20260608_20260608_greeks.parquet,D:\ThetaData\data_options\QQQ\iv\2026\06\QQQ_20260608_20260608_iv.parquet,D:\ThetaData\data_options\QQQ\ohlc\2026\06\QQQ_20260608_20260608_ohlc.parquet,D:\ThetaData\data_options\QQQ\oi\2026\06\QQQ_20260608_20260608_oi.parquet,D:\ThetaData\data_underlying_derived\QQQ\2026\06\QQQ_20260608.parquet
QQQ,QQQ,20260608,20260612,4,front_weekly,True,True,True,True,True,D:\ThetaData\data_options\QQQ\greeks\2026\06\QQQ_20260612_20260608_greeks.parquet,D:\ThetaData\data_options\QQQ\iv\2026\06\QQQ_20260612_20260608_iv.parquet,D:\ThetaData\data_options\QQQ\ohlc\2026\06\QQQ_20260612_20260608_ohlc.parquet,D:\ThetaData\data_options\QQQ\oi\2026\06\QQQ_20260612_20260608_oi.parquet,D:\ThetaData\data_underlying_derived\QQQ\2026\06\QQQ_20260608.parquet
