run,test_month,task,rows,acc,bal_acc,macro_f1,trade_rate,trade_precision,avg_trade_conf,mae,r2,direction_acc
baseline_sigvic,202602,target_cls,4161,0.6029800528719058,0.4094704244899945,0.39994003562032027,0.8618120644075943,0.6422197434467373,,,,
baseline_sigvic,202602,ret_30m_bps_reg,4161,,,,,,,17.45733879487565,-0.0766447022739789,0.5015621244893055
baseline_sigvic,202603,target_cls,4818,0.44250726442507266,0.37333505285358454,0.37045337415875773,0.836239103362391,0.4892032762472077,,,,
baseline_sigvic,202603,ret_30m_bps_reg,4818,,,,,,,18.032365696913693,-0.022933232518107527,0.5068493150684932
baseline_sigvic,202604,target_cls,4015,0.4542963885429639,0.30509907875381553,0.26874325068936067,0.9397260273972603,0.4691227140206732,,,,
baseline_sigvic,202604,ret_30m_bps_reg,4015,,,,,,,12.820600759408343,-0.05875730590503392,0.4660024906600249
baseline_sigvic,202605,target_cls,4088,0.44447162426614484,0.3100291002946948,0.31847180899885386,0.8960371819960861,0.44744744744744747,,,,
baseline_sigvic,202605,ret_30m_bps_reg,4088,,,,,,,12.520050946353916,-0.0775359366709536,0.4794520547945205
baseline_sigvic,202606,target_cls,4307,0.5340143951706524,0.3491046555939597,0.31990965494091544,0.8911074994195496,0.5690463783220427,,,,
baseline_sigvic,202606,ret_30m_bps_reg,4307,,,,,,,18.277695905346775,-0.006501916735778268,0.4943115857905735
visreg_straight,202602,target_cls,4161,0.5820716173996635,0.35930796045169794,0.3350502684509206,0.9276616198029319,0.600259067357513,,,,
visreg_straight,202602,ret_30m_bps_reg,4161,,,,,,,17.564987612684234,-0.06453697333837072,0.4984378755106945
visreg_straight,202603,target_cls,4818,0.4032793690327937,0.3541921393733896,0.30860617788865435,0.7044416770444167,0.48232174425456686,,,,
visreg_straight,202603,ret_30m_bps_reg,4818,,,,,,,18.18385255381961,-0.03267417112378701,0.5068493150684932
visreg_straight,202604,target_cls,4015,0.5357409713574097,0.33342558330049815,0.2550668344736546,0.987546699875467,0.5379571248423708,,,,
visreg_straight,202604,ret_30m_bps_reg,4015,,,,,,,12.759317398582217,-0.05371735196902372,0.4976338729763387
visreg_straight,202605,target_cls,4088,0.511252446183953,0.3428770732011473,0.3385645440422526,0.9300391389432485,0.5155181483429774,,,,
visreg_straight,202605,ret_30m_bps_reg,4088,,,,,,,12.376592615990171,-0.06902757576296392,0.4811643835616438
visreg_straight,202606,target_cls,4307,0.5391223589505456,0.3474725333152764,0.3087922203975589,0.884374274436963,0.5796797059595694,,,,
visreg_straight,202606,ret_30m_bps_reg,4307,,,,,,,18.23202504412523,-0.0051252002603834335,0.4959368469932668
