ticker,year,origin,candidates,sessions,qsize_both_valid
QQQ,2022,native_complement,197,50,0.9847715736040609
QQQ,2023,native_complement,887,199,0.9887260428410372
QQQ,2024,fallback,1073,198,0.9906803355079217
QQQ,2024,native_complement,69,14,0.9565217391304348
QQQ,2025,fallback,749,162,0.9893190921228304
QQQ,2025,native_complement,121,29,0.9834710743801653
SPXW,2022,native_complement,320,71,0.9875
SPXW,2023,native_complement,1067,198,0.9915651358950328
SPXW,2024,fallback,1156,208,0.9930795847750865
SPXW,2025,fallback,989,190,0.9919110212335692
SPY,2022,native_complement,258,59,0.9961240310077519
SPY,2023,native_complement,1218,215,0.9942528735632183
SPY,2024,fallback,1295,230,0.9922779922779923
SPY,2025,fallback,1284,216,0.9922118380062306
