cell_id,family,fold,ticker,horizon,valid_pair,auc_delta,average_precision_delta,log_loss_delta,brier_delta,balanced_accuracy_delta,spearman_delta,ece_delta,bootstrap_requested,bootstrap_valid,bootstrap_auc_delta_p025,bootstrap_auc_delta_median,bootstrap_auc_delta_p975,bootstrap_favorable_share
lr_2024_SPXW_30m,lr,2024,SPXW,30,True,0.011239515771237718,0.01707023336646435,-0.01162498654950983,-0.005182023177006806,0.009147951746139027,0.01787075350380432,-0.013244813324106819,1000,1000,-0.026308970099667664,0.012782338506732493,0.04908566595754884,0.74
lr_2024_SPXW_60m,lr,2024,SPXW,60,True,0.002648469697993372,0.011356269812228426,0.009094377970281453,0.004355867524245938,0.004999662184987486,0.004409612322806539,0.016210143282330447,1000,1000,-0.039103542590488094,0.0034559969886089337,0.04613784541321276,0.562
lr_2024_SPXW_120m,lr,2024,SPXW,120,True,0.03477208017631972,0.032701586540215766,0.016520668889391743,0.007075830185021059,0.02455139665332906,0.059161096762899726,0.022387644219435066,1000,1000,-0.01840834697602115,0.03445388484499223,0.08950915502930304,0.886
lr_2024_SPXW_180m,lr,2024,SPXW,180,True,0.0676404790103961,0.053119485839698166,0.012868849168703567,0.004380677252527054,0.05314844058428747,0.11508471798091273,0.01637153975324694,1000,1000,0.004472334430243544,0.0676161751328897,0.1328377473926254,0.985
lr_2024_QQQ_30m,lr,2024,QQQ,30,True,-0.015105386416861766,-0.03742022843298687,0.03153028574811101,0.013113985871763462,0.008865144418423121,-0.02511404540954877,0.012380538551216957,1000,1000,-0.047947536342415976,-0.013993156355412928,0.0207012796553817,0.211
lr_2024_QQQ_60m,lr,2024,QQQ,60,True,0.0036569148936169693,-0.004250873199647398,0.020154014176765878,0.008100964503836683,0.011480496453900702,0.006148679009898947,0.01132671835763055,1000,1000,-0.03155956456124344,0.004736863250819984,0.04004460907361807,0.584
lr_2024_QQQ_120m,lr,2024,QQQ,120,True,-0.01454063809967393,-0.02106145676914878,0.026986045919578205,0.01123061873993636,-0.010043083372147155,-0.02469782346986162,0.017685328028842012,1000,1000,-0.0393767798739485,-0.015840013146471793,0.009848847619634367,0.126
lr_2024_QQQ_180m,lr,2024,QQQ,180,True,-0.036417050691244346,-0.03755314597981069,0.038948703539114726,0.017085104482475133,-0.024619815668202705,-0.062151938616563956,0.02563138765834852,1000,1000,-0.0721015938558656,-0.03747310080650129,0.0007046586169305743,0.028
lr_2024_SPY_30m,lr,2024,SPY,30,True,-0.017722827491465032,-0.0021961547299791384,0.008420230513539129,0.003590576370064602,-0.024945253737027495,-0.028800640590533444,-0.0013860317544209244,1000,1000,-0.04497568398144167,-0.017978661885913516,0.00972276073147351,0.093
lr_2024_SPY_60m,lr,2024,SPY,60,True,-0.020929935375515685,-0.01274077139569546,0.016378061362361862,0.006879581879875751,-0.008598342400233716,-0.03462930788272386,0.01275566334634376,1000,1000,-0.047518326585327585,-0.020698820677485574,0.005382241606319935,0.059
