ticker,trade_date,source_kind,path,bytes,rows,schema_sha256,sha256,timestamp_min,timestamp_max,interval_values,symbol_values,expiration_values,trade_date_values,right_values,distinct_strikes
QQQ,20220801,greeks,D:\ThetaData\data_options\QQQ\greeks\2022\08\QQQ_20220801_20220801_greeks.parquet,1712695,92276,4f7dadcc678fe06a67b37276ab72a0fe1112de0dcdf77ab1854f53bd87798257,5cfba058dda5641ebba4de3cc480efb221bb2a207682d4ac538e49b710f57e69,2022-08-01T09:30:00,2022-08-01T16:00:00,"[""1m""]","[""QQQ""]","[""2022-08-01""]","[""2022-08-01""]","[""CALL"",""PUT""]",118
QQQ,20220801,ohlc,D:\ThetaData\data_options\QQQ\ohlc\2022\08\QQQ_20220801_20220801_ohlc.parquet,178713,48093,2a410dd6492454fd19192e6225ecfadef5baf1aa3ac52bd39482290b1027b7bf,58a529aa56168b4c7666fc244abaacc98b9ff85ed2725f761b66fb88560af05d,2022-08-01T09:30:00,2022-08-01T16:00:00,"[""1m""]","[""QQQ""]","[""2022-08-01""]","[""2022-08-01""]","[""CALL"",""PUT""]",71
QQQ,20220801,underlying,D:\ThetaData\data_underlying_derived\QQQ\2022\08\QQQ_20220801.parquet,13654,391,4d730a47ee30e9075aa633aea27ef92efdb22111291971ace163a971f118cc10,f7ef68de04a44c311e7998c795a074a13559d2cb97eef84a55150a7004e1ca1b,2022-08-01T09:30:00,2022-08-01T16:00:00,[],"[""QQQ""]",[],[],[],0
QQQ,20220803,greeks,D:\ThetaData\data_options\QQQ\greeks\2022\08\QQQ_20220803_20220803_greeks.parquet,1580452,89148,4f7dadcc678fe06a67b37276ab72a0fe1112de0dcdf77ab1854f53bd87798257,911a7825082d2b52dd15354f628d3abcf19244ff8a66556e682f4df358f3481d,2022-08-03T09:30:00,2022-08-03T16:00:00,"[""1m""]","[""QQQ""]","[""2022-08-03""]","[""2022-08-03""]","[""CALL"",""PUT""]",114
QQQ,20220803,ohlc,D:\ThetaData\data_options\QQQ\ohlc\2022\08\QQQ_20220803_20220803_ohlc.parquet,190475,50048,2a410dd6492454fd19192e6225ecfadef5baf1aa3ac52bd39482290b1027b7bf,b3ba11f62b0367c7f67e6d0ddb2260c44f134c8a16c61a64db22b4a9436aab32,2022-08-03T09:30:00,2022-08-03T16:00:00,"[""1m""]","[""QQQ""]","[""2022-08-03""]","[""2022-08-03""]","[""CALL"",""PUT""]",78
QQQ,20220803,underlying,D:\ThetaData\data_underlying_derived\QQQ\2022\08\QQQ_20220803.parquet,13380,391,4d730a47ee30e9075aa633aea27ef92efdb22111291971ace163a971f118cc10,a54f783536f46f8313fd5a26b64013b1f5436003d58fcc541c8a650146aea123,2022-08-03T09:30:00,2022-08-03T16:00:00,[],"[""QQQ""]",[],[],[],0
QQQ,20220805,greeks,D:\ThetaData\data_options\QQQ\greeks\2022\08\QQQ_20220805_20220805_greeks.parquet,2004710,114172,4f7dadcc678fe06a67b37276ab72a0fe1112de0dcdf77ab1854f53bd87798257,159f76c11399262add279ee80ae864d8231b7ee57f1d20f3d69bd7b1d52d4a03,2022-08-05T09:30:00,2022-08-05T16:00:00,"[""1m""]","[""QQQ""]","[""2022-08-05""]","[""2022-08-05""]","[""CALL"",""PUT""]",146
QQQ,20220805,ohlc,D:\ThetaData\data_options\QQQ\ohlc\2022\08\QQQ_20220805_20220805_ohlc.parquet,215559,62169,2a410dd6492454fd19192e6225ecfadef5baf1aa3ac52bd39482290b1027b7bf,48038253f9a30e9163988d4f3cade4a55f246015704f3425f689408337e5cc6f,2022-08-05T09:30:00,2022-08-05T16:00:00,"[""1m""]","[""QQQ""]","[""2022-08-05""]","[""2022-08-05""]","[""CALL"",""PUT""]",93
QQQ,20220805,underlying,D:\ThetaData\data_underlying_derived\QQQ\2022\08\QQQ_20220805.parquet,13203,391,4d730a47ee30e9075aa633aea27ef92efdb22111291971ace163a971f118cc10,a2f45048fe216575ac8ee85cccd6d117aedcacef62656ed869be5d76ac4d2092,2022-08-05T09:30:00,2022-08-05T16:00:00,[],"[""QQQ""]",[],[],[],0
QQQ,20220808,greeks,D:\ThetaData\data_options\QQQ\greeks\2022\08\QQQ_20220808_20220808_greeks.parquet,1860357,101660,4f7dadcc678fe06a67b37276ab72a0fe1112de0dcdf77ab1854f53bd87798257,c08069488eea578c9ebc73ea54c91b7c2ca5d7dcb19e5e6a0cbb7cf2da5fb578,2022-08-08T09:30:00,2022-08-08T16:00:00,"[""1m""]","[""QQQ""]","[""2022-08-08""]","[""2022-08-08""]","[""CALL"",""PUT""]",130
QQQ,20220808,ohlc,D:\ThetaData\data_options\QQQ\ohlc\2022\08\QQQ_20220808_20220808_ohlc.parquet,174588,46529,2a410dd6492454fd19192e6225ecfadef5baf1aa3ac52bd39482290b1027b7bf,871c31d77c747d9cb4fcdb79f392ef20674410b25b2c51d6fb8165172367a983,2022-08-08T09:30:00,2022-08-08T16:00:00,"[""1m""]","[""QQQ""]","[""2022-08-08""]","[""2022-08-08""]","[""CALL"",""PUT""]",70
QQQ,20220808,underlying,D:\ThetaData\data_underlying_derived\QQQ\2022\08\QQQ_20220808.parquet,13931,391,4d730a47ee30e9075aa633aea27ef92efdb22111291971ace163a971f118cc10,214fff2e957582b38f8cca10cedbf53711ebe70eb5cc5f13a878e3ac6e36cf2a,2022-08-08T09:30:00,2022-08-08T16:00:00,[],"[""QQQ""]",[],[],[],0
QQQ,20220810,greeks,D:\ThetaData\data_options\QQQ\greeks\2022\08\QQQ_20220810_20220810_greeks.parquet,1777845,101660,cb378be6558d6b7f5bd18712a25f29c993d0282db22827725eed8ff77f1eabcf,eb9d0e2ad3a3a9cd78ba843e0c2f08b8002391b645f5a7212d9099d0fa338a9e,2022-08-10T09:30:00,2022-08-10T16:00:00,"[""1m""]","[""QQQ""]","[""2022-08-10""]","[""2022-08-10""]","[""CALL"",""PUT""]",130
QQQ,20220810,ohlc,D:\ThetaData\data_options\QQQ\ohlc\2022\08\QQQ_20220810_20220810_ohlc.parquet,187000,52003,e08ff576d7569772f8407bfde998f0bda9837792a88892701ca848a304bf22a7,aec88e4c392d0f3ac5da056176f07d0eb00858a696334069bb3aaa7a44329258,2022-08-10T09:30:00,2022-08-10T16:00:00,"[""1m""]","[""QQQ""]","[""2022-08-10""]","[""2022-08-10""]","[""CALL"",""PUT""]",78
QQQ,20220810,underlying,D:\ThetaData\data_underlying_derived\QQQ\2022\08\QQQ_20220810.parquet,12430,391,4d730a47ee30e9075aa633aea27ef92efdb22111291971ace163a971f118cc10,dc1d776528011957d87645184786d1e47d3493440cb22bd7f0467e6439772083,2022-08-10T09:30:00,2022-08-10T16:00:00,[],"[""QQQ""]",[],[],[],0
QQQ,20220812,greeks,D:\ThetaData\data_options\QQQ\greeks\2022\08\QQQ_20220812_20220812_greeks.parquet,1893347,114172,cb378be6558d6b7f5bd18712a25f29c993d0282db22827725eed8ff77f1eabcf,df1094c53a109b26c943fdbc253c0ee655841ece79b305957f5df6a433ee111e,2022-08-12T09:30:00,2022-08-12T16:00:00,"[""1m""]","[""QQQ""]","[""2022-08-12""]","[""2022-08-12""]","[""CALL"",""PUT""]",146
QQQ,20220812,ohlc,D:\ThetaData\data_options\QQQ\ohlc\2022\08\QQQ_20220812_20220812_ohlc.parquet,201127,58259,e08ff576d7569772f8407bfde998f0bda9837792a88892701ca848a304bf22a7,8f3048e30a49d9d179ee6f85e4fcce655b6872c7597bce56788650b3b7a991df,2022-08-12T09:30:00,2022-08-12T16:00:00,"[""1m""]","[""QQQ""]","[""2022-08-12""]","[""2022-08-12""]","[""CALL"",""PUT""]",91
