cell_id,fold,ticker,horizon,arm,bin,lower,upper,count,mean_probability,event_rate
2024_SPXW_30m,2024,SPXW,30,F0,0,0.0,0.1,0,,
2024_SPXW_30m,2024,SPXW,30,F0,1,0.1,0.2,21,0.176852135341005,0.0
2024_SPXW_30m,2024,SPXW,30,F0,2,0.2,0.30000000000000004,84,0.2515127779249928,0.21428571428571427
2024_SPXW_30m,2024,SPXW,30,F0,3,0.30000000000000004,0.4,107,0.3464517039068571,0.2803738317757009
2024_SPXW_30m,2024,SPXW,30,F0,4,0.4,0.5,107,0.4520360598377724,0.3364485981308411
2024_SPXW_30m,2024,SPXW,30,F0,5,0.5,0.6000000000000001,77,0.5502044508081918,0.2727272727272727
2024_SPXW_30m,2024,SPXW,30,F0,6,0.6000000000000001,0.7000000000000001,66,0.6460093534198476,0.4393939393939394
2024_SPXW_30m,2024,SPXW,30,F0,7,0.7000000000000001,0.8,14,0.7324981666595178,0.6428571428571429
2024_SPXW_30m,2024,SPXW,30,F0,8,0.8,0.9,1,0.8165929120339559,0.0
2024_SPXW_30m,2024,SPXW,30,F0,9,0.9,1.0,0,,
2024_SPXW_30m,2024,SPXW,30,F1,0,0.0,0.1,0,,
2024_SPXW_30m,2024,SPXW,30,F1,1,0.1,0.2,29,0.16705994525244142,0.2413793103448276
2024_SPXW_30m,2024,SPXW,30,F1,2,0.2,0.30000000000000004,79,0.25183694949531554,0.22784810126582278
2024_SPXW_30m,2024,SPXW,30,F1,3,0.30000000000000004,0.4,125,0.35180273047131305,0.232
2024_SPXW_30m,2024,SPXW,30,F1,4,0.4,0.5,109,0.4489552607834427,0.30275229357798167
2024_SPXW_30m,2024,SPXW,30,F1,5,0.5,0.6000000000000001,74,0.5474594436467581,0.44594594594594594
2024_SPXW_30m,2024,SPXW,30,F1,6,0.6000000000000001,0.7000000000000001,48,0.6457723809600996,0.3333333333333333
2024_SPXW_30m,2024,SPXW,30,F1,7,0.7000000000000001,0.8,12,0.733636196377801,0.5
2024_SPXW_30m,2024,SPXW,30,F1,8,0.8,0.9,1,0.8124029708539329,1.0
2024_SPXW_30m,2024,SPXW,30,F1,9,0.9,1.0,0,,
2024_SPXW_60m,2024,SPXW,60,F0,0,0.0,0.1,0,,
2024_SPXW_60m,2024,SPXW,60,F0,1,0.1,0.2,6,0.1890807280769772,0.16666666666666666
2024_SPXW_60m,2024,SPXW,60,F0,2,0.2,0.30000000000000004,53,0.26396805852664323,0.18867924528301888
2024_SPXW_60m,2024,SPXW,60,F0,3,0.30000000000000004,0.4,128,0.35517704277013556,0.2890625
2024_SPXW_60m,2024,SPXW,60,F0,4,0.4,0.5,165,0.44776333381676603,0.34545454545454546
2024_SPXW_60m,2024,SPXW,60,F0,5,0.5,0.6000000000000001,124,0.5432835177591528,0.45161290322580644
2024_SPXW_60m,2024,SPXW,60,F0,6,0.6000000000000001,0.7000000000000001,72,0.6436918126132866,0.4444444444444444
2024_SPXW_60m,2024,SPXW,60,F0,7,0.7000000000000001,0.8,19,0.7327896692155246,0.5789473684210527
2024_SPXW_60m,2024,SPXW,60,F0,8,0.8,0.9,1,0.8253790558287086,1.0
2024_SPXW_60m,2024,SPXW,60,F0,9,0.9,1.0,0,,
2024_SPXW_60m,2024,SPXW,60,F1,0,0.0,0.1,0,,
2024_SPXW_60m,2024,SPXW,60,F1,1,0.1,0.2,6,0.18148168636022,0.3333333333333333
2024_SPXW_60m,2024,SPXW,60,F1,2,0.2,0.30000000000000004,40,0.2626749140470158,0.3
