ticker,test_month,month,train_month_max,val_months,val_month_max,mode
QQQ,202601,202601,202506,"202507,202508,202509,202510,202511,202512",202512,monthly_retrain_scored_rows_fixed_policy
QQQ,202602,202602,202507,"202508,202509,202510,202511,202512,202601",202601,monthly_retrain_scored_rows_fixed_policy
QQQ,202603,202603,202508,"202509,202510,202511,202512,202601,202602",202602,monthly_retrain_scored_rows_fixed_policy
QQQ,202604,202604,202509,"202510,202511,202512,202601,202602,202603",202603,monthly_retrain_scored_rows_fixed_policy
QQQ,202605,202605,202510,"202511,202512,202601,202602,202603,202604",202604,monthly_retrain_scored_rows_fixed_policy
QQQ,202606,202606,202511,"202512,202601,202602,202603,202604,202605",202605,monthly_retrain_scored_rows_fixed_policy
SPXW,202601,202601,202506,"202507,202508,202509,202510,202511,202512",202512,monthly_retrain_scored_rows_fixed_policy
SPXW,202602,202602,202507,"202508,202509,202510,202511,202512,202601",202601,monthly_retrain_scored_rows_fixed_policy
SPXW,202603,202603,202508,"202509,202510,202511,202512,202601,202602",202602,monthly_retrain_scored_rows_fixed_policy
SPXW,202604,202604,202509,"202510,202511,202512,202601,202602,202603",202603,monthly_retrain_scored_rows_fixed_policy
SPXW,202605,202605,202510,"202511,202512,202601,202602,202603,202604",202604,monthly_retrain_scored_rows_fixed_policy
SPXW,202606,202606,202511,"202512,202601,202602,202603,202604,202605",202605,monthly_retrain_scored_rows_fixed_policy
SPY,202601,202601,202506,"202507,202508,202509,202510,202511,202512",202512,monthly_retrain_scored_rows_fixed_policy
SPY,202602,202602,202507,"202508,202509,202510,202511,202512,202601",202601,monthly_retrain_scored_rows_fixed_policy
SPY,202603,202603,202508,"202509,202510,202511,202512,202601,202602",202602,monthly_retrain_scored_rows_fixed_policy
SPY,202604,202604,202509,"202510,202511,202512,202601,202602,202603",202603,monthly_retrain_scored_rows_fixed_policy
SPY,202605,202605,202510,"202511,202512,202601,202602,202603,202604",202604,monthly_retrain_scored_rows_fixed_policy
SPY,202606,202606,202511,"202512,202601,202602,202603,202604,202605",202605,monthly_retrain_scored_rows_fixed_policy
